Startup,Product,Funding,Event,Result,OperatingState,,,,Audience choice,Operating,,Funding
2600Hz,2600hz.com,,Disrupt SF 2013,Contestant,Operating,,,,Audience choice,Closed,,
3DLT,3dlt.com,$630K,Disrupt NYC 2013,Contestant,Closed,,,,Contestant,Operating,,$630K
3DPrinterOS,3dprinteros.com,,Disrupt SF 2016,Contestant,Operating,,,,Contestant,Closed,,$1M
3Dprintler,3dprintler.com,$1M,Disrupt NY 2016,Audience choice,Operating,,,,Contestant,Acquired,,$19.3M
42 Technologies,42technologies.com,,Disrupt NYC 2013,Contestant,Operating,,,,Contestant,Ipo,,$29M
5to1,5to1.com,$19.3M,TC50 2009,Contestant,Acquired,,,,Finalist,Operating,,$1.8M
8 Securities,8securities.com,$29M,Disrupt Beijing 2011,Finalist,Operating,,,,Finalist,Acquired,,$750K
8020 Media,8020media.com,,TC40 2007,Contestant,Operating,,,,Finalist,Closed,,$17.9K
About Last Night,aboutlastnight.net,,Disrupt NYC 2012,Contestant,Operating,,,,Finalist,Ipo,,$11.6M
Adgregate Markets,adgregate.com,,TC50 2008,Contestant,Operating,,,,Result,OperatingState,,$929.2K
AdhereTech,adheretech.com,$1.8M,Hardware Battlefield 2014,Contestant,Operating,,,,Runner up,Acquired,,$12.2M
AdRocket,adrocket.com,$1M,TC50 2008,Contestant,Closed,,,,Runner up,Operating,,$1.9M
Affective Interfaces,affectiveinterfaces.com,,TC50 2009,Contestant,Operating,,,,Winner,Operating,,$4M
Agrilyst,agrilyst.com,$1M,Disrupt SF 2015,Winner,Operating,,,,Winner,Acquired,,$3M
Aiden,aiden.ai,$750K,Disrupt London 2016,Contestant,Operating,,,,,,,$225K
AirBoxLab,foobot.io,$17.9K,Hardware Battlefield 2014,Contestant,Operating,,,,,,,$24M
Aircall,aircall.io,$11.6M,Disrupt SF 2015,Contestant,Operating,,,,,,,$746K
AirDroids,airdroids.com,$929.2K,Hardware Battlefield 2014,Contestant,Closed,,,,,,,$600K
AirHelp,airhelp.com,$12.2M,Disrupt NYC 2014,Contestant,Operating,,,,,,,$7.1M
AirWander,airwander.com,,Disrupt London 2016,Contestant,Operating,,,,,,,$4.5M
Akoha,akoha.com,$1.9M,TC50 2008,Contestant,Closed,,,,,,,$50.9M
Alfabetic,alfabetic.com,,TC50 2008,Contestant,Acquired,,,,,,,$8.3M
Alicanto,alicanto.com,$4M,Disrupt SF 2012,Contestant,Operating,,,,,,,$12.3M
Allre,allre.com,,Disrupt SF 2014,Contestant,Acquired,,,,,,,$190K
Alpha Outlook,alphaoutlook.com,,Disrupt Beijing 2011,Contestant,Operating,,,,,,,$40M
Altwork,altwork.com,,Disrupt SF 2016,Audience choice,Operating,,,,,,,$520K
Amaryllis Nucleics,amaryllisnucleics.com,,Disrupt SF 2016,Contestant,Operating,,,,,,,$2.9M
Amen.,getamen.com,$3M,Disrupt SF 2011,Contestant,Acquired,,,,,,,$320K
Angstro,angst.ro,$225K,TC50 2008,Contestant,Acquired,,,,,,,$1.7M
Anquanbao,anquanbao.com,,Disrupt Beijing 2011,Runner up,Acquired,,,,,,,$20K
Ansa,ansa.com,,Disrupt SF 2013,Contestant,Operating,,,,,,,$205M
Anyclip,anyclip.com,$24M,TC50 2009,Finalist,Operating,,,,,,,$16.5M
App2you,app2you.com,$746K,TC40 2007,Contestant,Operating,,,,,,,$2.8M
AppArchitect,apparchitect.com,,Disrupt NYC 2013,Contestant,Acquired,,,,,,,$125K
Appbistro,appbistro.com,$600K,Disrupt NYC 2010,Contestant,Closed,,,,,,,$350K
AppChina,appchina.com,$7.1M,Disrupt Beijing 2011,Contestant,Operating,,,,,,,$20.8M
Arctuition,arcsiteapp.com,,Disrupt NY 2015,Contestant,Operating,,,,,,,$675K
Ark,ark.com,$4.5M,Disrupt NYC 2012,Finalist,Operating,,,,,,,$6.5M
Arrived,GetArrived.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,$2M
Artomatix,artomatix.com,,Disrupt SF 2015,Contestant,Operating,,,,,,,$118K
Artsy,artsy.net,$50.9M,Disrupt NYC 2010,Contestant,Operating,,,,,,,$20.5M
"Artveoli, Inc.",artveoli.com,,Disrupt NY 2016,Contestant,Operating,,,,,,,$7.2M
asap54.com,asap54.com,$8.3M,Disrupt EU 2013,Runner up,Operating,,,,,,,$2.3M
Athla,athla.com,,Disrupt SF 2014,Contestant,Operating,,,,,,,$212K
Atlas Wearables,atlaswearables.com,$4M,Hardware Battlefield 2014,Finalist,Operating,,,,,,,$7M
Audioo,audioo.com,,Disrupt NYC 2010,Contestant,Acquired,,,,,,,$8.1M
Ava,avawomen.com,$12.3M,Disrupt SF 2015,Contestant,Operating,,,,,,,$8.5M
Avado,avado.com,$1M,Disrupt NYC 2011,Contestant,Acquired,,,,,,,$325K
Babelverse,babelverse.com,$190K,Disrupt NYC 2012,Audience choice,Closed,,,,,,,$150K
Badgeville,badgeville.com,$40M,Disrupt SF 2010,Finalist,Acquired,,,,,,,$5M
Bark Technologies,bark.us,,Disrupt NY 2016,Finalist,Operating,,,,,,,$60K
Beam,beam.pro,$520K,Disrupt NY 2016,Winner,Acquired,,,,,,,$8.8M
